Month,Category,Item,Amount,Type,Running Balance,Notes
5,Infrastructure,AWS/Hosting,-4000,Expense,792450,
5,Infrastructure,Tools/Licenses,-1500,Expense,790950,
5,Infrastructure,Backup Systems,-1000,Expense,789950,
5,Marketing,Paid Acquisition,-10000,Expense,779950,
5,Marketing,Content/SEO,-3000,Expense,776950,
5,Marketing,Conference,-5000,Expense,771950,Industry event
5,Operations,Legal,-1500,Expense,770450,
5,Operations,Accounting,-500,Expense,769950,
6,Revenue,Affiliate Commissions,15000,Income,784950,
6,Revenue,Subscriptions,12000,Income,796950,
6,Revenue,Advertising,3000,Income,799950,
6,Personnel,CEO/CTO Salary,-8000,Expense,791950,
6,Personnel,COO Salary,-7000,Expense,784950,
6,Personnel,Senior Developer,-7000,Expense,777950,
6,Personnel,Junior Developer,-4500,Expense,773450,
6,Personnel,Marketing Manager,-4000,Expense,769450,
6,Personnel,Payroll Taxes,-9150,Expense,760300,
6,Infrastructure,AWS/Hosting,-4500,Expense,755800,
6,Infrastructure,Tools/Licenses,-1500,Expense,754300,
6,Infrastructure,Performance Opt,-2000,Expense,752300,
6,Marketing,Paid Acquisition,-8000,Expense,744300,
6,Marketing,Content/SEO,-3000,Expense,741300,
6,Marketing,Partnerships,-3000,Expense,738300,
6,Operations,Legal,-1500,Expense,736800,
6,Operations,Accounting,-2000,Expense,734800,Quarterly filing
7,Revenue,Total Revenue,38000,Income,772800,Q3 begins
7,Expenses,Total Operating,-57150,Expense,715650,All categories
8,Revenue,Total Revenue,42000,Income,757650,
8,Expenses,Total Operating,-48000,Expense,709650,
9,Revenue,Total Revenue,48000,Income,757650,Approaching break-even
9,Expenses,Total Operating,-47000,Expense,710650,
10,Revenue,Total Revenue,52000,Income,762650,
10,Expenses,Total Operating,-47000,Expense,715650,
11,Revenue,Total Revenue,58000,Income,773650,
11,Expenses,Total Operating,-48000,Expense,725650,
12,Revenue,Total Revenue,65000,Income,790650,Year end
12,Expenses,Total Operating,-50000,Expense,740650,
Summary,Year 1,Total Revenue,389000,Income,,
Summary,Year 1,Total Expenses,-648350,Expense,,
Summary,Year 1,Net Burn,-259350,,,
Summary,Year 1,Ending Balance,740650,,,
Summary,Year 1,Remaining Runway,18,,,months
